Variable,Comparison,U,p_raw,Rank-biserial r,p_adj,Significant
Maximum Heading Deviation,L3 vs R1,400.0,< 0.001,1.000,< 0.001,Yes
Maximum Heading Deviation,L3 vs R2,400.0,< 0.001,1.000,< 0.001,Yes
Maximum Heading Deviation,L3 vs R3,400.0,< 0.001,1.000,< 0.001,Yes
Maximum Heading Deviation,R1 vs R2,228.0,0.457,0.140,1.000,No
Maximum Heading Deviation,R1 vs R3,250.0,0.181,0.250,1.000,No
Maximum Heading Deviation,R2 vs R3,228.0,0.457,0.140,1.000,No
Final Lateral Error,P0 vs L1,220.0,0.598,0.100,1.000,No
Final Lateral Error,P0 vs L2,254.0,0.148,0.270,1.000,No
Final Lateral Error,P0 vs L3,250.0,0.181,0.250,1.000,No
Final Lateral Error,P0 vs R1,131.0,0.064,-0.345,0.511,No
Final Lateral Error,P0 vs R2,97.0,0.006,-0.515,0.061,No
Final Lateral Error,P0 vs R3,52.0,< 0.001,-0.740,0.001,Yes
Final Lateral Error,L1 vs L2,227.0,0.473,0.135,1.000,No
Final Lateral Error,L1 vs L3,236.0,0.337,0.180,1.000,No
Final Lateral Error,L1 vs R1,117.0,0.026,-0.415,0.256,No
Final Lateral Error,L1 vs R2,92.0,0.004,-0.540,0.047,Yes
Final Lateral Error,L1 vs R3,49.0,< 0.001,-0.755,< 0.001,Yes
Final Lateral Error,L2 vs L3,208.0,0.839,0.040,1.000,No
Final Lateral Error,L2 vs R1,88.0,0.003,-0.560,0.038,Yes
Final Lateral Error,L2 vs R2,65.0,< 0.001,-0.675,0.005,Yes
Final Lateral Error,L2 vs R3,36.0,< 0.001,-0.820,< 0.001,Yes
Final Lateral Error,L3 vs R1,92.0,0.004,-0.540,0.047,Yes
Final Lateral Error,L3 vs R2,66.0,< 0.001,-0.670,0.005,Yes
Final Lateral Error,L3 vs R3,27.0,< 0.001,-0.865,< 0.001,Yes
Final Lateral Error,R1 vs R2,164.0,0.337,-0.180,1.000,No
Final Lateral Error,R1 vs R3,91.0,0.003,-0.545,0.047,Yes
Final Lateral Error,R2 vs R3,119.0,0.029,-0.405,0.265,No
